date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-06-27,8.2674,8.4906,8.1607,8.1704,37975337,37975337,0.077628,0.959,8.3469,"Jun 27, 17",-0.010571951027525709
2017-06-28,8.3839,8.5294,8.3111,8.4615,27564349,27564349,0.291107,3.563,8.4449,"Jun 28, 17",0.024679995640432485
2017-06-29,8.5973,8.6653,8.3742,8.4809,22201547,22201547,0.019407,0.229,8.5153,"Jun 29, 17",0.027029318090993897
2017-06-30,8.5003,8.5779,8.4033,8.4906,17682221,17682221,0.009703,0.114,8.4954,"Jun 30, 17",0.0282039793162746
2017-07-03,8.607,8.7429,8.5973,8.6556,12587360,12587360,0.164961,1.943,8.6845,"Jul 3, 17",0.04818533005558447
2017-07-05,8.6847,8.7138,8.3645,8.4809,31054823,31054823,-0.174664,-2.018,8.48,"Jul 5, 17",0.027029318090993897
2017-07-06,8.4518,8.5003,8.3062,8.5003,22549357,22549357,0.019407,0.229,8.415,"Jul 6, 17",0.029378640541555093
2017-07-07,8.6265,8.6459,8.3475,8.51,23310356,23310356,0.009703,0.114,8.4765,"Jul 7, 17",0.030553301766835798
2017-07-10,8.5488,8.8399,8.5003,8.8205,25125065,25125065,0.310515,3.649,8.7277,"Jul 10, 17",0.0681545708853554
2017-07-11,8.8496,8.9661,8.8302,8.937,20199615,20199615,0.116441,1.32,8.9054,"Jul 11, 17",0.08226261549826218
2017-07-12,9.0243,9.0631,8.8011,9.034,24644802,24644802,0.097036,1.086,8.9548,"Jul 12, 17",0.0940092277510688
2017-07-13,9.0243,9.034,8.7235,8.8011,50708426,50708426,-0.232885,-2.578,8.8322,"Jul 13, 17",0.06580524843479421
2017-07-14,8.9079,9.0243,8.8739,8.9758,23995334,23995334,0.174664,1.985,8.9671,"Jul 14, 17",0.08696126039938479
2017-07-17,9.0922,9.2087,8.9952,9.0243,32473804,32473804,0.048518,0.541,9.1,"Jul 17, 17",0.0928345665257881
2017-07-18,9.0825,9.1699,8.9952,9.1407,21226771,21226771,0.116442,1.29,9.0741,"Jul 18, 17",0.10693050122915593
2017-07-19,9.2184,9.2548,9.1019,9.1407,16723837,16723837,0,0,9.1689,"Jul 19, 17",0.10693050122915593
