date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-08-21,3.5002,3.5698,3.4206,3.4206,4295795,4295795,-0.079549,-2.273,3.4967,"Aug 21, 17",0.0886003437082299
2017-08-22,3.4854,3.5253,3.4755,3.4954,5471529,5471529,0.074788,2.186,3.5025,"Aug 22, 17",0.11240532111259634
2017-08-23,3.5153,3.6846,3.5054,3.6348,8461460,8461460,0.139419,3.989,3.629,"Aug 23, 17",0.1567691426389154
2017-08-24,3.6448,3.6846,3.6,3.6249,8086477,8086477,-0.009959,-0.274,3.6416,"Aug 24, 17",0.15361848386480806
2017-08-25,3.6249,3.6448,3.5352,3.5651,4315096,4315096,-0.05975,-1.648,3.5988,"Aug 25, 17",0.13458723187575594
2017-08-28,3.5651,3.6049,3.5402,3.5751,2486223,2486223,0.009958,0.279,3.5678,"Aug 28, 17",0.13776971548596528
2017-08-29,3.5054,3.5751,3.5054,3.5452,3898192,3898192,-0.029875,-0.836,3.5408,"Aug 29, 17",0.12825408949143913
2017-08-30,3.5452,3.7045,3.5253,3.6846,9422828,9422828,0.139418,3.933,3.6458,"Aug 30, 17",0.17261791101775834
2017-08-31,3.7643,3.7842,3.6846,3.6946,8072126,8072126,0.009957,0.27,3.7351,"Aug 31, 17",0.17580039462796768
2017-09-01,3.824,3.9933,3.8041,3.9136,18830867,18830867,0.219085,5.93,3.92,"Sep 1, 17",0.2454967856915538
2017-09-05,4.1427,4.2323,3.9585,3.9634,18871888,18871888,0.049792,1.272,4.0459,"Sep 5, 17",0.2613455540703966
2017-09-06,4.0331,4.1128,3.9834,4.063,8436689,8436689,0.099585,2.513,4.0605,"Sep 6, 17",0.2930430908280822
2017-09-07,4.0331,4.063,3.9734,4.0232,6642309,6642309,-0.039834,-0.98,4.0164,"Sep 7, 17",0.28037680605944887
2017-09-08,4.063,4.073,3.8639,3.8838,8552285,8552285,-0.139417,-3.465,3.9078,"Sep 8, 17",0.2360129845331297
2017-09-11,3.9535,4.0083,3.8937,3.9037,5221512,5221512,0.019916,0.513,3.9476,"Sep 11, 17",0.24234612691744647
2017-09-12,3.9037,3.9535,3.8141,3.8539,9758769,9758769,-0.049792,-1.276,3.8967,"Sep 12, 17",0.22649735853860353
2017-09-13,3.8141,3.824,3.7344,3.7742,6866244,6866244,-0.079667,-2.067,3.779,"Sep 13, 17",0.2011329641652346
2017-09-14,3.7145,3.7742,3.6846,3.7643,4165830,4165830,-0.009959,-0.264,3.7309,"Sep 14, 17",0.19798230539112727
2017-09-15,3.7941,3.8639,3.7842,3.8539,6983642,6983642,0.089626,2.381,3.8376,"Sep 15, 17",0.22649735853860353
2017-09-18,3.9037,3.9435,3.824,3.8539,9487479,9487479,0,0,3.8841,"Sep 18, 17",0.22649735853860353
2017-09-19,3.824,3.8439,3.7045,3.7344,6479416,6479416,-0.119501,-3.101,3.7495,"Sep 19, 17",0.18846667939660114
2017-09-20,3.7742,3.8041,3.6049,3.7444,14061380,14061380,0.009959,0.267,3.6915,"Sep 20, 17",0.19164916300681062
2017-09-21,3.6647,3.7145,3.6149,3.6149,4850739,4850739,-0.129459,-3.457,3.6507,"Sep 21, 17",0.15043600025459875
2017-09-22,3.6348,3.6348,3.5253,3.5452,4349711,4349711,-0.069709,-1.928,3.5727,"Sep 22, 17",0.12825408949143913
2017-09-25,3.5651,3.5651,3.3958,3.4257,5797936,5797936,-0.119501,-3.371,3.4394,"Sep 25, 17",0.09022341034943673
2017-09-26,3.4755,3.5402,3.4356,3.4356,5741811,5741811,0.009959,0.291,3.49,"Sep 26, 17",0.09337406912354405
2017-09-27,3.4556,3.4755,3.2763,3.4456,10543530,10543530,0.009958,0.29,3.355,"Sep 27, 17",0.09655655273375353
2017-09-28,3.3759,3.4207,3.3261,3.3659,9826129,9826129,-0.079667,-2.312,3.3773,"Sep 28, 17",0.07119215836038445
2017-09-29,3.4356,3.4655,3.3908,3.4157,4061805,4061805,0.049792,1.479,3.4244,"Sep 29, 17",0.08704092673922739
2017-10-02,3.4257,3.4854,3.4008,3.4456,8499432,8499432,0.029875,0.875,3.4421,"Oct 2, 17",0.09655655273375353
2017-10-03,3.4854,3.6149,3.4705,3.5651,8369709,8369709,0.119501,3.468,3.558,"Oct 3, 17",0.13458723187575594
